Blog	yet	week	real	heart	both	him	times	once	such	did	without	doesn	city	found	young	lot	name	track	bit	because	pretty	black	any	friends	everything	its	different	lost	why	play	high	came	red	until	three	white	enough	point	went	kind	tell	b	fun	hard	light	does	left	free	didn	set	head	sounds	bad	far	past	sometimes	put	each	together	maybe	might	dark	th	between	along	doing	early	said	thought	morning	blue	happy	pop	beautiful	used	least	quite	group	girl	sure	video	anything	change	four	single	played	summer	art	couple	john	coming	later	school	makes	give	late	record	face	though	style	ago	dance	probably	words	almost	yes	dead	sun	story	turn	wasn	fire	friend	run	fall	help	side	eyes	under	release	soul	perfect	stuff	start	room	listen	whole	remember	half	comes	hear	oh	heard	looking	records	radio	myself	favorite	actually	call	blog	getting	tracks	guitar	released	cover	line	won	already	having	playing	course	often	called	feeling	working	close	e	making	version	future	number	trying	took	someone	try	done	saw	break	hit	hand	list	sense	voice	isn	idea	la	bands	death	family	o	self	hope	shows	read	recorded	stop	felt	moment	dream	believe	cool	five	lyrics	finally	use	small	american	stay	stage	everyone	r	sort	country	st	rest	months	listening	taken	punk	anyone	deep	below	beat	must	return	experience	baby	yeah	moon	rather	sweet	during	street	project	open	true	seen	talk	either	watch	seems	gets	major	less	club	write	albums	front	artists	super	writing	become	party	across	picture	nice	gone	hours	david	anyway	classic	started	instead	note	age	fan	order	clear	wanted	check	singer	worth	musical	star	boy	bob	tour	cut	short	solo	machine	original	space	else	follow	recently	beach	hell	seem	decided	taking	knows	haven	yourself	title	miss	final	waiting	book	wrong	vocals	month	however	king	perhaps	sea	green	girls	behind	works	enjoy	god	talking	low	soon	reason	game	london	trip	hot	debut	easy	slow	wait	especially	mark	road	others	sing	ones	following	feels	special	amazing	case	local	seeing	matter	guys	previous	leave	move	history	mix	including	artist	mean	complete	couldn	singing	able	itself	guy	heavy	weekend	recent	cold	attention	reading	audience	blood	wish	several	drive	fact	bring	certainly	important	simple	wouldn	straight	alone	power	word	definitely	please	lead	needed	saying	turned	stars	bass	label	goes	link	near	com	rain	mostly	written	form	shit	themselves	minutes	studio	inside	guess	means	air	ready	based	simply	boys	although	given	outside	known	material	walk	sad	blues	indie	james	whatever	exactly	die	living	earlier	energy	york	kids	door	scene	l	born	lives	men	deal	interesting	n	electric	job	liked	town	mr	happen	forever	against	dreams	hold	etc	told	x	ride	piece	running	sleep	wild	minute	huge	wave	third	personal	wonder	u	entire	somewhere	december	himself	pink	sunday	spent	forward	due	example	gold	person	car	takes	hands	weeks	modern	mine	fans	watching	wall	knew	review	upon	paul	eventually	state	above	looks	longer	water	c	sky	west	places	thanks	non	fantastic	performance	needs	despite	g	opening	theme	de	ep	touch	moved	broken	national	ten	series	worked	brilliant
How to be an artist and still pass for normal	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Party Full of Strangers	0	5	4	1	2	2	2	1	0	1	0	1	4	0	4	1	4	11	0	1	11	1	0	0	0	3	0	2	0	0	1	3	2	2	3	6	2	0	1	0	3	4	0	4	0	2	0	1	1	1	0	7	1	0	0	2	3	0	1	1	2	0	0	5	0	0	3	1	1	1	5	1	7	0	2	2	0	1	3	0	5	1	0	1	2	0	4	1	1	4	2	2	0	3	0	2	0	1	1	0	5	1	1	1	0	0	1	1	2	1	1	6	0	1	1	1	1	1	2	0	5	1	1	1	0	3	1	1	3	0	3	0	6	0	2	0	2	3	1	0	2	0	0	1	3	2	1	0	0	1	1	0	0	2	3	1	0	1	0	2	0	1	1	1	1	1	0	0	0	0	0	6	1	3	1	0	1	3	0	0	2	2	0	0	0	0	3	0	0	1	1	2	1	1	1	0	1	1	1	0	0	3	0	1	2	1	3	4	0	1	0	1	1	0	2	0	0	1	1	0	0	2	2	1	0	0	0	1	0	0	1	1	0	3	1	0	0	1	0	1	3	1	1	1	2	0	2	1	1	1	1	1	0	0	0	1	2	0	3	1	0	2	3	2	1	0	2	0	2	0	1	1	0	0	0	0	2	1	2	0	0	0	1	2	2	1	0	1	0	0	0	1	1	0	4	0	0	1	1	1	0	1	0	1	0	1	0	2	2	2	5	1	2	1	2	1	1	0	0	2	1	0	2	2	0	1	1	0	0	12	1	0	1	0	1	0	1	1	0	0	0	0	0	10	2	2	1	1	2	0	0	1	0	0	1	0	1	0	0	0	0	2	0	1	0	0	1	2	0	0	1	0	0	0	1	0	0	0	2	0	0	1	4	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	2	2	1	0	0	0	0	0	2	0	1	2	1	0	0	0	2	1	1	0	0	1	0	2	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	2	3	0	0	3	1	0	0	0	1	0	2	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	2	0	0	3	0	0	0	3	1	0	2	1	0	0	0	0	0	1	0	0
adrianoblog	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IoTube     :)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Power of Independent Trucking	10	5	6	0	7	12	3	3	4	18	7	5	1	1	0	10	4	11	7	11	14	0	11	2	2	5	2	2	10	9	6	8	1	3	2	0	4	6	4	2	4	5	4	4	2	5	1	2	14	24	0	4	1	3	4	3	5	3	1	3	1	1	1	3	2	7	0	10	3	4	0	4	0	2	5	6	15	0	4	3	1	9	0	1	2	5	1	4	5	1	4	6	2	0	0	1	10	4	9	8	4	0	4	2	1	4	3	0	1	0	7	0	9	2	2	5	1	1	3	3	4	4	9	3	1	8	2	8	2	3	2	2	2	2	3	2	5	9	3	2	22	3	8	13	5	12	1	0	1	5	8	2	4	5	0	9	5	5	1	12	4	0	2	2	5	1	5	4	4	2	2	0	2	1	3	7	2	4	2	4	1	1	1	1	4	15	2	0	1	1	1	6	0	23	3	2	2	1	1	2	0	5	5	0	0	2	1	5	1	13	1	0	2	4	0	0	3	0	0	0	3	0	1	0	6	0	1	3	1	1	1	0	1	1	0	0	3	1	2	0	0	3	1	1	3	0	4	0	4	0	2	3	3	2	2	0	3	13	1	6	0	5	4	1	0	0	4	0	1	5	2	4	17	6	1	0	3	0	5	0	5	3	2	2	2	1	1	4	2	2	0	7	2	1	0	4	0	0	0	2	4	10	0	3	1	1	3	3	4	2	0	1	0	1	0	2	4	1	4	3	5	1	0	0	1	0	0	2	2	3	4	1	0	0	11	3	1	1	2	3	4	2	3	3	1	1	2	2	2	2	2	0	0	5	3	2	1	6	1	1	1	2	1	0	1	1	9	1	1	0	5	0	18	2	1	6	0	2	0	1	5	1	3	6	1	3	1	1	3	0	1	3	7	0	0	1	1	4	11	2	4	1	0	0	1	0	0	0	0	0	1	1	0	1	6	0	3	0	0	2	0	7	5	5	1	6	0	0	2	0	0	5	2	6	0	1	0	0	0	2	0	0	1	0	0	1	3	4	1	2	1	1	3	0	4	1	0	0	0	1	0	0	0	4	3	2	0	5	0	1	0	5	0	1	2	3	0	7	1	2	0	8	4	2	4	1	0	1	0	3	0	1	0	1	0	0	0	0	8	2
Stonehill Sketchbook	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forget about it	1	0	1	0	0	2	0	1	1	8	2	1	0	1	0	1	0	0	3	3	1	0	3	0	1	8	0	0	3	0	0	4	0	0	0	1	2	0	0	0	1	0	2	1	0	0	1	0	5	0	0	0	0	2	0	0	2	0	1	4	0	0	0	0	1	1	1	2	6	4	0	1	0	0	0	2	1	0	0	4	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	3	0	0	1	0	4	4	0	0	0	1	0	1	7	0	1	1	0	2	0	1	2	0	0	0	0	0	1	0	1	1	2	0	1	2	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	3	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	2	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
For the Other Things	6	2	2	3	1	3	2	6	2	4	2	3	8	4	1	10	4	1	3	21	5	1	3	6	11	2	3	5	12	2	2	3	2	3	5	2	1	4	4	5	2	2	6	6	1	0	3	3	12	0	1	0	1	2	6	2	7	9	10	2	0	0	3	3	1	10	2	4	9	4	0	4	0	3	0	7	0	5	4	4	0	4	0	1	1	0	11	1	1	1	3	2	3	6	3	2	2	0	4	11	3	0	2	4	1	2	0	0	1	3	2	1	4	8	1	6	3	3	2	0	1	1	1	3	2	0	4	4	0	1	2	1	1	0	1	5	9	3	4	2	7	5	1	0	0	1	5	1	3	4	4	4	1	4	4	2	4	2	3	2	7	1	3	3	6	5	1	3	1	1	3	1	3	5	1	2	0	1	1	10	2	3	2	0	3	0	4	2	2	1	7	3	1	0	1	2	3	0	2	0	3	0	0	0	1	5	1	2	0	0	1	0	0	0	0	0	4	2	2	0	0	1	1	2	3	3	1	1	0	2	0	3	1	0	0	0	1	0	3	2	1	0	6	1	3	0	0	2	0	1	0	0	0	2	3	0	0	1	1	9	3	1	0	0	0	2	0	0	2	0	0	1	1	4	3	1	0	0	1	3	5	2	1	0	1	0	3	2	0	1	1	0	3	1	0	0	1	2	0	1	1	0	0	0	0	5	1	1	1	3	0	0	0	2	1	2	1	0	0	0	2	0	3	0	4	0	0	6	1	0	1	4	1	3	0	1	0	0	0	4	2	0	1	1	0	5	1	2	0	0	0	2	1	0	2	0	4	0	3	1	1	1	0	0	1	2	0	0	1	2	1	0	0	0	1	1	1	0	0	1	0	1	2	2	4	0	0	0	1	2	0	1	0	0	0	0	2	1	0	0	2	1	0	0	0	1	0	3	2	3	0	2	0	0	0	0	1	2	0	2	0	0	3	1	3	0	3	0	1	3	1	0	2	2	0	0	7	2	0	0	2	0	1	0	0	1	0	2	0	1	0	1	1	0	0	1	0	8	0	0	1	2	1	1	0	3	2	2	0	0	0	0	1	0	2	0	5	1	1	0	4	0	0	0	1	0	0	1	0	4	2	0	3	0	1	0	0	0	2	0
DaveCromwell Writes	26	6	13	14	53	30	30	30	15	35	9	7	42	35	18	45	20	94	21	36	25	16	30	22	34	45	16	6	37	41	20	20	6	11	26	15	16	27	13	45	14	8	18	20	14	15	18	14	12	61	16	36	6	17	8	22	35	24	15	12	18	12	26	29	27	21	71	15	10	5	8	11	41	12	15	11	11	9	11	17	42	14	11	8	42	52	14	13	8	16	21	18	6	17	17	19	81	9	31	61	10	23	11	10	6	8	22	6	24	7	7	5	15	12	10	15	27	4	24	47	7	16	22	12	15	36	17	5	9	28	30	19	15	13	36	11	7	9	24	6	22	23	55	131	38	15	25	4	22	42	44	7	13	19	16	11	7	2	19	14	3	32	19	13	25	6	22	7	9	10	9	12	17	21	8	6	8	59	8	5	5	27	7	38	15	32	7	6	14	20	2	13	3	45	5	33	1	3	4	56	12	4	11	7	1	3	8	14	3	20	10	20	10	14	8	9	31	10	11	8	7	16	21	16	14	10	20	8	9	9	5	9	5	3	15	9	10	20	24	37	4	9	8	7	4	5	12	6	2	19	3	34	10	5	8	8	6	10	6	11	30	27	12	22	9	11	6	32	3	5	19	16	18	18	14	23	38	11	5	3	2	15	5	2	24	23	6	13	0	4	5	83	13	24	3	6	2	2	9	14	20	2	6	5	8	22	6	3	3	6	6	31	12	5	1	12	23	7	5	13	5	10	6	10	12	1	9	3	15	6	20	3	12	8	19	10	36	15	7	8	10	11	10	5	28	6	18	2	9	4	32	8	2	3	4	10	15	9	18	7	8	7	9	20	13	19	7	28	5	4	9	12	69	23	14	5	8	22	6	2	28	8	10	12	7	56	3	18	1	1	3	16	10	7	22	8	13	6	12	4	0	23	7	7	9	7	5	5	16	10	57	3	1	19	2	6	3	4	6	10	12	14	4	4	1	3	2	3	5	5	7	18	13	1	3	30	14	0	3	8	10	7	12	17	2	4	12	6	2	4	12	2	2	13	5	2	3	14	4	27	3	1	12	5	22	1	3	11	13	6	7	1	5	14	4	4	5	2	3	7	11	3	1	2	39	5	3	1	11	14	4	29	13	4	4	2	1	7	13	11
Chantelle Swain A2 Media Studies	1	0	1	0	4	0	0	0	5	1	0	0	0	3	0	0	2	7	0	0	0	3	1	4	0	1	4	0	1	0	0	0	4	0	3	2	0	0	1	0	0	0	0	0	3	1	0	0	0	9	0	0	2	0	0	0	2	1	0	0	0	1	2	2	1	0	0	0	0	0	0	1	1	0	11	1	6	0	0	0	13	0	2	0	2	0	0	1	0	0	0	3	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	45	0	1	0	3	0	0	0	0	0	0	4	0	0	4	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	1	0	0	0	0	4	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	18	1	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	8	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
The Campus Buzz on WSOU	0	2	0	2	2	0	2	0	1	0	0	2	4	2	20	0	1	0	1	1	3	1	0	1	4	1	0	0	3	2	1	0	2	0	0	1	1	0	2	0	2	9	0	1	3	4	15	1	0	0	9	0	3	0	0	0	0	1	1	2	0	3	7	1	2	0	0	2	0	0	0	2	7	12	0	0	0	0	6	1	1	0	3	0	0	1	2	1	0	2	1	2	4	0	0	3	5	1	0	0	0	5	1	0	0	1	2	7	1	3	0	2	1	2	5	0	0	4	2	0	0	1	1	2	1	1	0	0	2	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	3	0	0	0	0	1	1	2	3	0	1	0	0	0	0	1	11	1	10	0	3	0	0	0	0	0	0	0	2	2	1	2	0	0	0	0	1	7	3	0	1	1	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	10	1	4	0	1	0	4	0	8	1	0	0	0	0	0	0	2	0	1	0	1	12	0	0	0	4	4	0	0	0	1	0	2	0	0	1	0	0	0	0	4	3	0	0	0	0	0	1	5	8	0	1	0	0	1	0	0	0	0	0	21	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	5	2	5	1	1	0	1	0	2	3	0	1	1	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	3	0	0	7	0	2	0	3	0	0	2	0	4	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	1	2	0	4	4	1	0	4	1	0	5	3	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	7	0	2	2	1	0	0	7	0	0	0	0	1	2	4	0	0	4	0	0	0	2	0	0	0	0	2	1	0	0	0	0	2	1	1	0	3	0	18	0	0	0	2	0	0	0	2	0	0	1	0	12	5	0	1	6	0	0	0	0	1	7	0	7	0	0	0	1	1	0	1	17	0	0	0	0
jaaackie.	4	0	3	1	0	7	8	3	5	5	2	3	0	0	1	4	1	0	1	37	1	0	0	4	13	0	1	6	16	0	3	0	1	0	1	1	3	3	2	4	4	0	2	1	0	6	4	1	20	0	2	2	1	1	2	6	2	4	1	3	0	0	0	1	1	7	0	5	13	0	0	7	0	0	3	2	1	0	1	2	0	11	2	0	0	0	3	0	3	0	2	0	7	4	2	1	0	7	8	0	4	8	3	1	2	1	2	1	0	2	6	0	3	3	0	5	4	6	0	0	0	5	1	1	7	0	5	1	1	2	1	0	1	6	0	0	10	0	5	2	0	3	0	0	0	0	0	2	1	0	2	3	1	0	5	1	1	0	1	0	1	0	3	1	4	3	4	0	0	1	3	3	0	0	1	1	0	0	5	1	0	1	3	0	1	0	4	4	2	2	10	0	0	0	3	0	0	0	1	0	4	3	2	0	0	4	6	0	1	0	2	2	0	1	1	0	1	0	1	0	2	0	1	0	0	2	1	1	4	1	0	1	0	0	0	0	6	0	0	0	1	1	1	0	1	2	0	1	0	0	4	0	8	0	0	5	0	0	0	9	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	4	0	0	1	1	2	0	0	1	1	0	4	0	1	0	2	0	0	3	0	0	0	0	3	3	0	1	4	3	1	1	1	0	0	0	0	0	2	0	1	3	0	0	3	0	3	0	0	0	0	0	0	0	3	9	1	0	1	0	0	0	0	12	2	2	0	6	0	0	0	1	0	0	1	0	0	0	4	0	0	1	1	1	3	1	5	0	1	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	3	0	7	1	1	0	0	0	0	0	0	0	1	1	2	1	0	0	2	0	0	0	4	2	0	0	1	3	1	1	0	0	2	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	2	0	0	0	7	1	0	2	0	2	1	0	2	2	5	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0
